x,y,z,Bx,By,Bz
-30.0,30.0,-30.0,0.44,-2.379,1.586
-30.0,30.0,-20.0,1.017,-3.432,1.144
-30.0,30.0,-10.0,1.309,-3.928,-0.0
-30.0,30.0,0.0,1.017,-3.432,-1.144
-30.0,30.0,10.0,0.44,-2.379,-1.586
-30.0,30.0,20.0,-0.0,-1.426,-1.426
-30.0,30.0,30.0,-0.208,-0.801,-1.068
-30.0,30.0,40.0,-0.264,-0.445,-0.742
-30.0,40.0,-40.0,-0.208,-1.068,0.801
-30.0,40.0,-30.0,-0.088,-1.59,0.795
-30.0,40.0,-20.0,0.058,-2.089,0.522
-30.0,40.0,-10.0,0.128,-2.304,-0.0
-30.0,40.0,0.0,0.058,-2.089,-0.522
-30.0,40.0,10.0,-0.088,-1.59,-0.795
-30.0,40.0,20.0,-0.208,-1.068,-0.801
-30.0,40.0,30.0,-0.26,-0.669,-0.669
-30.0,40.0,40.0,-0.26,-0.407,-0.509
-20.0,-40.0,-40.0,-0.751,1.06,0.795
-20.0,-40.0,-30.0,-0.851,1.701,0.851
-20.0,-40.0,-20.0,-0.891,2.375,0.594
-20.0,-40.0,-10.0,-0.894,2.683,-0.0
-20.0,-40.0,0.0,-0.891,2.375,-0.594
-20.0,-40.0,10.0,-0.851,1.701,-0.851
-20.0,-40.0,20.0,-0.751,1.06,-0.795
-20.0,-40.0,30.0,-0.617,0.617,-0.617
-20.0,-40.0,40.0,-0.486,0.353,-0.442
-20.0,-30.0,-40.0,-0.881,1.586,1.586
-20.0,-30.0,-30.0,-0.839,3.021,2.014
-20.0,-30.0,-20.0,-0.545,4.909,1.636
-20.0,-30.0,-10.0,-0.328,5.908,-0.0
-20.0,-30.0,0.0,-0.545,4.909,-1.636
-20.0,-30.0,10.0,-0.839,3.021,-2.014
-20.0,-30.0,20.0,-0.881,1.586,-1.586
-20.0,-30.0,30.0,-0.751,0.795,-1.06
-20.0,-30.0,40.0,-0.584,0.404,-0.674
-20.0,-20.0,-40.0,-0.839,2.014,3.021
-20.0,-20.0,-30.0,-0.0,4.811,4.811
-20.0,-20.0,-20.0,2.469,9.877,4.938
-20.0,-20.0,-10.0,4.419,13.258,-0.0
-20.0,-20.0,0.0,2.469,9.877,-4.938
-20.0,-20.0,10.0,-0.0,4.811,-4.811
-20.0,-20.0,20.0,-0.839,2.014,-3.021
-20.0,-20.0,30.0,-0.851,0.851,-1.701
-20.0,-20.0,40.0,-0.671,0.384,-0.959
-20.0,-10.0,-40.0,-0.545,1.636,4.909
-20.0,-10.0,-30.0,2.469,4.938,9.877
-20.0,-10.0,-20.0,13.608,13.608,13.608
-20.0,-10.0,-10.0,25.044,21.466,-0.0
-20.0,-10.0,0.0,13.608,13.608,-13.608
-20.0,-10.0,10.0,2.469,4.938,-9.877
-20.0,-10.0,20.0,-0.545,1.636,-4.909
-20.0,-10.0,30.0,-0.891,0.594,-2.375
-20.0,-10.0,40.0,-0.73,0.243,-1.217
-20.0,0.0,-40.0,-0.328,-0.0,5.908
-20.0,0.0,-30.0,4.419,-0.0,13.258
-20.0,0.0,-20.0,25.044,-0.0,21.466
-20.0,0.0,-10.0,50.0,-0.0,-0.0
-20.0,0.0,0.0,25.044,-0.0,-21.466
-20.0,0.0,10.0,4.419,-0.0,-13.258
-20.0,0.0,20.0,-0.328,-0.0,-5.908
-20.0,0.0,30.0,-0.894,-0.0,-2.683
